SchoolCode,SchoolName,City,StateCode
040834,"CAMBRIDGE COLG OF HEALTHCARE & TECHNOLOG","DELRAY BEACH",FL
040894,"CCI TRAINING CENTER",ARLINGTON,TX
040923,"COASTLINE BEAUTY COLLEGE","FOUNTAIN VALLEY",CA
040924,"MAKE-UP DESIGNORY",BURBANK,CA
040933,"ACADEMY OF NATURAL THERAPY",GREELEY,CO
040953,"KING'S COLLEGE (THE)","NEW YORK",NY
041003,"DENMARK COLLEGE",MERRILLVILLE,IN
041013,"CAROLINA SCHOOL OF BROADCASTING",CHARLOTTE,NC
041023,"NEW AGE TRAINING","NEW YORK",NY
041043,"ACADEMY DI CAPELLI - SCHOOL OF COSMETOLO",WALLINGFORD,CT
041054,"PENSACOLA SCHOOL OF MASSAGE THERAPY & HE",PENSACOLA,FL
041063,"PALM BEACH ACADEMY OF HEALTH & BEAUTY","LAKE PARK",FL
041103,"UNIVERSITY OF MANAGEMENT AND TECHNOLOGY",ARLINGTON,VA
041113,"WEST HILLS COLLEGE LEMOORE",LEMOORE,CA
041123,"LOUISIANA CULINARY INSTITUTE","BATON ROUGE",LA
041143,"NEVADA STATE COLLEGE",HENDERSON,NV
041145,"VALLEY COLLEGE OF MEDICAL CAREERS","WEST HILLS",CA
041153,"COACHELLA VALLEY BEAUTY COLLEGE","LA QUINTA",CA
041155,"TALMUDICAL SEMINARY OF BOBOV",BROOKLYN,NY
041156,"MAYFIELD COLLEGE","CATHEDRAL CITY",CA
041164,"FUTURE-TECH INSTITUTE",MIAMI,FL
041166,"TAYLOR COLLEGE",BELLEVIEW,FL
041169,"DIGRIGOLI SCHOOL OF COSMETOLOGY","WEST SPRINGFIELD",MA
041171,"EDP SCHOOL",BROOKLYN,NY
041172,"INSTITUTO EDUCATIVO PREMIER",PONCE,PR
041173,"DAYTON SCHOOL OF MEDICAL MASSAGE",DAYTON,OH
041174,"MILWAUKEE CAREER COLLEGE",MILWAUKEE,WI
041176,"LARRY'S BARBER COLLEGE",CHICAGO,IL
041177,"MONROE 2-ORLEANS BOCES, CENTER FOR WORK",ROCHESTER,NY
041179,"CHAMPION BEAUTY COLLEGE",HOUSTON,TX
041183,"NORTHCOAST MEDICAL TRAINING ACADEMY",KENT,OH
041186,"TRICOCI UNIVERSITY OF BEAUTY CULTURE",JANESVILLE,WI
041187,"AMERICAN BUSINESS & TECHNOLOGY UNIVERSIT","SAINT JOSEPH",MO
041188,"NEW YORK FILM ACADEMY",BURBANK,CA
041190,"EASTERN WEST VIRGINIA COMMUNITY & TECHNI",MOOREFIELD,WV
041191,"CITY VISION COLLEGE","KANSAS CITY",MO
041194,"AVEDA INSTITUTE - SAINT PETERSBURG","SAINT PETERSBURG",FL
041196,"YESHIVA OF FAR ROCKAWAY DERECH AYSON RAB","FAR ROCKAWAY",NY
041203,"HEALTH AND STYLE INSTITUTE",GREENSBORO,NC
041204,"PAUL MITCHELL THE SCHOOL MIAMI",MIAMI,FL
041209,"ARIZONA CULINARY INSTITUTE",SCOTTSDALE,AZ
041210,"TECHSKILLS - INDIANAPOLIS",INDIANAPOLIS,IN
041211,"ELEVATE SALON INSTITUTE","ROYAL OAKS",MI
041215,"COLUMBIA SOUTHERN UNIVERSITY","ORANGE BEACH",AL
041217,"DIXIE TECHNICAL COLLEGE","ST GEORGE",UT
041218,"CRISWELL COLLEGE",DALLAS,TX
041220,"TRI COUNTY REGIONAL VOCATIONAL TECHNICAL",FRANKLIN,MA
041223,"GRANTHAM UNIVERSITY",LENEXA,KS
041228,"PRESBYTERIAN THEOLOGICAL SEMINARY IN AME","SANTA FE SPRINGS",CA
041234,"YESHIVAS BE'ER YITZCHOK",ELIZABETH,NJ
041238,"WILLIAMSON COLLEGE OF THE TRADES",MEDIA,PA
041239,"LEXINGTON HEALING ARTS ACADEMY",LEXINGTON,KY
041241,"ELITE COLLEGE OF COSMETOLOGY",LEXINGTON,TN
041242,"CATHOLIC DISTANCE UNIVERSITY","CHARLES TOWN",WV
041245,TECHSKILLS,WESTERVILLE,OH
041246,"PROFESSIONAL ACADEMY OF COSMETOLOGY",NORRISTOWN,PA
041247,"AMBRIA COLLEGE OF NURSING","HOFFMAN ESTATES",IL
041251,"MONTESSORI CASA INTERNATIONAL","GREENWOOD VILLAGE",CO
041254,"PAUL MITCHELL THE SCHOOL AUSTIN",AUSTIN,TX
041255,"MANUEL AND THERESA'S SCHOOL OF HAIR DESI",BRYAN,TX
041256,"CAREER SCHOOL OF NY","STATEN ISLAND",NY
041260,"PAUL MITCHELL THE SCHOOL CLEVELAND",TWINSBURG,OH
041269,"ACADEMY OF CAREER TRAINING",KISSIMMEE,FL
